"TERM","SUBJ","CRSE_TITLE","sections","students","fee_amt","total_amt"
"202380","ANTH","1135: Intro Biological Anth",1,76,5,380
"202380","ANTH","1135L: Intro Biological Anth Lab",4,61,40,2440
"202380","ANTH","1140: Intro Cultural Anthropology",1,63,5,315
"202380","ANTH","1211: Archaeology in Practice",1,41,5,205
"202380","ANTH","1211L: Archaeology in Practice Lab",6,94,40,3760
"202380","ANTH","2175: World Archaeology",1,42,5,210
"202380","ANTH","2190C: Forensic Anthropology",3,51,30,1530
"202380","ANTH","310: Language & Culture",1,18,20,360
"202380","ANTH","330: Principles of Cultural Anthro",1,42,10,420
"202380","ANTH","340: T: Cultural & Globalizaiton",1,19,20,380
"202380","ANTH","340: T: Hlth & Soc Inequalities I",1,4,20,80
"202380","ANTH","340: T: Querencia:Home Place & Iden",1,1,20,20
"202380","ANTH","340: T: Querencia:Home Place &Iden",1,0,20,0
"202380","ANTH","340: T: Violence(s) in Global Soc",1,3,20,60
"202380","ANTH","340: T: Writers in the Community",2,0,20,0
"202380","ANTH","351L: Anthropology of the Skeleton",2,33,30,990
"202380","ANTH","420: T: Digital Apprchs in Museum",1,0,20,0
"202380","ANTH","420: T: Hunter-Gatherer Archaeology",1,6,20,120
"202380","ANTH","420: T: Museum Collection Mgmt",1,0,20,0
"202380","ANTH","420: T: Museum Collection Mngmnt",1,0,20,0
"202380","ANTH","420: T: Museum Practices",2,2,20,40
"202380","ANTH","420: T: Pre-Columbian Art: Mesoamer",1,3,20,60
"202380","ANTH","420: T: Seminar in SW Archaeology",1,5,20,100
"202380","ANTH","420: T: Traditional Technology",1,6,20,120
"202380","ANTH","450: T: Genetics of Adaptive Evol",1,5,40,200
"202380","ANTH","530: T: Culture & Globalization",1,4,30,120
"202380","ANTH","530: T: Poli of Lang in LA",1,11,30,330
"202380","ANTH","550: T: Genetics of Adaptive Evol",1,1,30,30
"202380","ANTH","570: Adv T: Ancient Mexico",1,5,20,100
"202380","ANTH","570: Adv T: Digit Apprchs in Museum",1,0,20,0
