"Academic Period Code","Course College Code","DEPT","level","Subject Code","total_hours","acad_year"
"201980","AS","EPS","upper","ENVS",347,"2019-2020"
"201980","AS","EPS","total","ENVS",347,"2019-2020"
"201980","AS","EPS","upper","EPS",726,"2019-2020"
"201980","AS","EPS","grad","EPS",271,"2019-2020"
"201980","AS","EPS","total","EPS",997,"2019-2020"
"201980","AS","EPS","lower","GEOL",1336,"2019-2020"
"201980","AS","EPS","total","GEOL",1336,"2019-2020"
"202010","AS","EPS","lower","ENVS",739,"2019-2020"
"202010","AS","EPS","upper","ENVS",365,"2019-2020"
"202010","AS","EPS","grad","ENVS",8,"2019-2020"
"202010","AS","EPS","total","ENVS",1112,"2019-2020"
"202010","AS","EPS","upper","EPS",938,"2019-2020"
"202010","AS","EPS","grad","EPS",261,"2019-2020"
"202010","AS","EPS","total","EPS",1199,"2019-2020"
"202010","AS","EPS","lower","GEOL",760,"2019-2020"
"202010","AS","EPS","total","GEOL",760,"2019-2020"
"202060","AS","EPS","upper","EPS",60,"2019-2020"
"202060","AS","EPS","grad","EPS",9,"2019-2020"
"202060","AS","EPS","total","EPS",69,"2019-2020"
"202080","AS","EPS","lower","ENVS",532,"2020-2021"
"202080","AS","EPS","upper","ENVS",376,"2020-2021"
"202080","AS","EPS","total","ENVS",908,"2020-2021"
"202080","AS","EPS","upper","EPS",605,"2020-2021"
"202080","AS","EPS","grad","EPS",268,"2020-2021"
"202080","AS","EPS","total","EPS",873,"2020-2021"
"202080","AS","EPS","lower","GEOL",976,"2020-2021"
"202080","AS","EPS","total","GEOL",976,"2020-2021"
"202110","AS","EPS","lower","ENVS",413,"2020-2021"
"202110","AS","EPS","upper","ENVS",515,"2020-2021"
"202110","AS","EPS","grad","ENVS",8,"2020-2021"
"202110","AS","EPS","total","ENVS",936,"2020-2021"
"202110","AS","EPS","upper","EPS",732,"2020-2021"
"202110","AS","EPS","grad","EPS",248,"2020-2021"
"202110","AS","EPS","total","EPS",980,"2020-2021"
"202110","AS","EPS","lower","GEOL",1100,"2020-2021"
"202110","AS","EPS","total","GEOL",1100,"2020-2021"
"202160","AS","EPS","upper","EPS",60,"2020-2021"
"202160","AS","EPS","grad","EPS",6,"2020-2021"
"202160","AS","EPS","total","EPS",66,"2020-2021"
"202180","AS","EPS","lower","ENVS",611,"2021-2022"
"202180","AS","EPS","upper","ENVS",320,"2021-2022"
"202180","AS","EPS","total","ENVS",931,"2021-2022"
"202180","AS","EPS","upper","EPS",506,"2021-2022"
"202180","AS","EPS","grad","EPS",371,"2021-2022"
"202180","AS","EPS","total","EPS",877,"2021-2022"
"202180","AS","EPS","lower","GEOL",816,"2021-2022"
"202180","AS","EPS","total","GEOL",816,"2021-2022"
"202210","AS","EPS","lower","ENVS",602,"2021-2022"
"202210","AS","EPS","upper","ENVS",394,"2021-2022"
"202210","AS","EPS","grad","ENVS",16,"2021-2022"
"202210","AS","EPS","total","ENVS",1012,"2021-2022"
"202210","AS","EPS","upper","EPS",503,"2021-2022"
"202210","AS","EPS","grad","EPS",265,"2021-2022"
"202210","AS","EPS","total","EPS",768,"2021-2022"
"202210","AS","EPS","lower","GEOL",848,"2021-2022"
"202210","AS","EPS","total","GEOL",848,"2021-2022"
"202260","AS","EPS","upper","EPS",8,"2021-2022"
"202260","AS","EPS","total","EPS",8,"2021-2022"
"202280","AS","EPS","lower","ENVS",819,"2022-2023"
"202280","AS","EPS","upper","ENVS",384,"2022-2023"
"202280","AS","EPS","total","ENVS",1203,"2022-2023"
"202280","AS","EPS","upper","EPS",582,"2022-2023"
"202280","AS","EPS","grad","EPS",220,"2022-2023"
"202280","AS","EPS","total","EPS",802,"2022-2023"
"202280","AS","EPS","lower","GEOL",971,"2022-2023"
"202280","AS","EPS","total","GEOL",971,"2022-2023"
"202310","AS","EPS","lower","ENVS",788,"2022-2023"
"202310","AS","EPS","upper","ENVS",351,"2022-2023"
"202310","AS","EPS","total","ENVS",1139,"2022-2023"
"202310","AS","EPS","upper","EPS",671,"2022-2023"
"202310","AS","EPS","grad","EPS",251,"2022-2023"
"202310","AS","EPS","total","EPS",922,"2022-2023"
"202310","AS","EPS","lower","GEOL",1008,"2022-2023"
"202310","AS","EPS","total","GEOL",1008,"2022-2023"
"202360","AS","EPS","upper","EPS",65,"2022-2023"
"202360","AS","EPS","total","EPS",65,"2022-2023"
"202380","AS","EPS","lower","ENVS",810,"2023-2024"
"202380","AS","EPS","upper","ENVS",416,"2023-2024"
"202380","AS","EPS","total","ENVS",1226,"2023-2024"
"202380","AS","EPS","upper","EPS",598,"2023-2024"
"202380","AS","EPS","grad","EPS",183,"2023-2024"
"202380","AS","EPS","total","EPS",781,"2023-2024"
"202380","AS","EPS","lower","GEOL",1269,"2023-2024"
"202380","AS","EPS","total","GEOL",1269,"2023-2024"
"202410","AS","EPS","lower","ENVS",1007,"2023-2024"
"202410","AS","EPS","upper","ENVS",526,"2023-2024"
"202410","AS","EPS","grad","ENVS",8,"2023-2024"
"202410","AS","EPS","total","ENVS",1541,"2023-2024"
"202410","AS","EPS","upper","EPS",607,"2023-2024"
"202410","AS","EPS","grad","EPS",152,"2023-2024"
"202410","AS","EPS","total","EPS",759,"2023-2024"
"202410","AS","EPS","lower","GEOL",1015,"2023-2024"
"202410","AS","EPS","total","GEOL",1015,"2023-2024"
"202460","AS","EPS","lower","ENVS",156,"2023-2024"
"202460","AS","EPS","total","ENVS",156,"2023-2024"
"202460","AS","EPS","upper","EPS",40,"2023-2024"
"202460","AS","EPS","grad","EPS",3,"2023-2024"
"202460","AS","EPS","total","EPS",43,"2023-2024"
