"Academic Period Code","Course College Code","DEPT","level","Subject Code","total_hours","acad_year"
"201980","AS","HIST","lower","HIST",1212,"2019-2020"
"201980","AS","HIST","upper","HIST",1866,"2019-2020"
"201980","AS","HIST","grad","HIST",238,"2019-2020"
"201980","AS","HIST","total","HIST",3316,"2019-2020"
"202010","AS","HIST","lower","HIST",654,"2019-2020"
"202010","AS","HIST","upper","HIST",1728,"2019-2020"
"202010","AS","HIST","grad","HIST",211,"2019-2020"
"202010","AS","HIST","total","HIST",2593,"2019-2020"
"202060","AS","HIST","upper","HIST",165,"2019-2020"
"202060","AS","HIST","grad","HIST",39,"2019-2020"
"202060","AS","HIST","total","HIST",204,"2019-2020"
"202080","AS","HIST","lower","HIST",1368,"2020-2021"
"202080","AS","HIST","upper","HIST",1863,"2020-2021"
"202080","AS","HIST","grad","HIST",273,"2020-2021"
"202080","AS","HIST","total","HIST",3504,"2020-2021"
"202110","AS","HIST","lower","HIST",579,"2020-2021"
"202110","AS","HIST","upper","HIST",1968,"2020-2021"
"202110","AS","HIST","grad","HIST",260,"2020-2021"
"202110","AS","HIST","total","HIST",2807,"2020-2021"
"202160","AS","HIST","upper","HIST",261,"2020-2021"
"202160","AS","HIST","grad","HIST",5,"2020-2021"
"202160","AS","HIST","total","HIST",266,"2020-2021"
"202180","AS","HIST","lower","HIST",1008,"2021-2022"
"202180","AS","HIST","upper","HIST",1545,"2021-2022"
"202180","AS","HIST","grad","HIST",304,"2021-2022"
"202180","AS","HIST","total","HIST",2857,"2021-2022"
"202210","AS","HIST","lower","HIST",489,"2021-2022"
"202210","AS","HIST","upper","HIST",1451,"2021-2022"
"202210","AS","HIST","grad","HIST",271,"2021-2022"
"202210","AS","HIST","total","HIST",2211,"2021-2022"
"202260","AS","HIST","upper","HIST",174,"2021-2022"
"202260","AS","HIST","grad","HIST",33,"2021-2022"
"202260","AS","HIST","total","HIST",207,"2021-2022"
"202280","AS","HIST","lower","HIST",867,"2022-2023"
"202280","AS","HIST","upper","HIST",1498,"2022-2023"
"202280","AS","HIST","grad","HIST",313,"2022-2023"
"202280","AS","HIST","total","HIST",2678,"2022-2023"
"202310","AS","HIST","lower","HIST",600,"2022-2023"
"202310","AS","HIST","upper","HIST",1524,"2022-2023"
"202310","AS","HIST","grad","HIST",262,"2022-2023"
"202310","AS","HIST","total","HIST",2386,"2022-2023"
"202360","AS","HIST","lower","HIST",81,"2022-2023"
"202360","AS","HIST","upper","HIST",45,"2022-2023"
"202360","AS","HIST","total","HIST",126,"2022-2023"
"202380","AS","HIST","lower","HIST",1167,"2023-2024"
"202380","AS","HIST","upper","HIST",1408,"2023-2024"
"202380","AS","HIST","grad","HIST",195,"2023-2024"
"202380","AS","HIST","total","HIST",2770,"2023-2024"
"202410","AS","HIST","lower","HIST",828,"2023-2024"
"202410","AS","HIST","upper","HIST",1468,"2023-2024"
"202410","AS","HIST","grad","HIST",201,"2023-2024"
"202410","AS","HIST","total","HIST",2497,"2023-2024"
"202460","AS","HIST","upper","HIST",159,"2023-2024"
"202460","AS","HIST","total","HIST",159,"2023-2024"
