"Academic Period Code","Course College Code","DEPT","level","Subject Code","total_hours","acad_year"
"201980","AS","AFST","lower","AFST",165,"2019-2020"
"201980","AS","AFST","upper","AFST",132,"2019-2020"
"201980","AS","AFST","total","AFST",297,"2019-2020"
"201980","AS","AMST","lower","AMST",549,"2019-2020"
"201980","AS","AMST","total","AMST",549,"2019-2020"
"201980","AS","CCS","lower","CCST",354,"2019-2020"
"201980","AS","CCS","upper","CCST",519,"2019-2020"
"201980","AS","CCS","grad","CCST",21,"2019-2020"
"201980","AS","CCS","total","CCST",894,"2019-2020"
"201980","AS","ENGL","lower","ENGL",1059,"2019-2020"
"201980","AS","ENGL","upper","ENGL",512,"2019-2020"
"201980","AS","ENGL","total","ENGL",1571,"2019-2020"
"201980","AS","HIST","lower","HIST",141,"2019-2020"
"201980","AS","HIST","upper","HIST",66,"2019-2020"
"201980","AS","HIST","total","HIST",207,"2019-2020"
"201980","AS","LCL","lower","CLST",648,"2019-2020"
"201980","AS","LCL","total","CLST",648,"2019-2020"
"201980","AS","LCL","lower","MLNG",138,"2019-2020"
"201980","AS","LCL","total","MLNG",138,"2019-2020"
"201980","AS","NATV","lower","NATV",144,"2019-2020"
"201980","AS","NATV","upper","NATV",90,"2019-2020"
"201980","AS","NATV","grad","NATV",24,"2019-2020"
"201980","AS","NATV","total","NATV",258,"2019-2020"
"201980","AS","PHIL","lower","PHIL",474,"2019-2020"
"201980","AS","PHIL","total","PHIL",474,"2019-2020"
"201980","AS","RELG","lower","RELG",768,"2019-2020"
"201980","AS","RELG","upper","RELG",354,"2019-2020"
"201980","AS","RELG","total","RELG",1122,"2019-2020"
"201980","AS","SPAN","lower","PORT",24,"2019-2020"
"201980","AS","SPAN","total","PORT",24,"2019-2020"
"201980","AS","SPAN","lower","SPAN",294,"2019-2020"
"201980","AS","SPAN","upper","SPAN",558,"2019-2020"
"201980","AS","SPAN","total","SPAN",852,"2019-2020"
"201980","AS","WGSS","lower","WMST",9,"2019-2020"
"201980","AS","WGSS","upper","WMST",36,"2019-2020"
"201980","AS","WGSS","total","WMST",45,"2019-2020"
"202010","AS","AFST","lower","AFST",186,"2019-2020"
"202010","AS","AFST","upper","AFST",108,"2019-2020"
"202010","AS","AFST","total","AFST",294,"2019-2020"
"202010","AS","AMST","lower","AMST",732,"2019-2020"
"202010","AS","AMST","total","AMST",732,"2019-2020"
"202010","AS","CCS","lower","CCST",291,"2019-2020"
"202010","AS","CCS","upper","CCST",708,"2019-2020"
"202010","AS","CCS","grad","CCST",33,"2019-2020"
"202010","AS","CCS","total","CCST",1032,"2019-2020"
"202010","AS","ENGL","lower","ENGL",948,"2019-2020"
"202010","AS","ENGL","upper","ENGL",267,"2019-2020"
"202010","AS","ENGL","grad","ENGL",24,"2019-2020"
"202010","AS","ENGL","total","ENGL",1239,"2019-2020"
"202010","AS","HIST","upper","HIST",126,"2019-2020"
"202010","AS","HIST","total","HIST",126,"2019-2020"
"202010","AS","LCL","upper","ARAB",99,"2019-2020"
"202010","AS","LCL","total","ARAB",99,"2019-2020"
"202010","AS","LCL","lower","CLST",648,"2019-2020"
"202010","AS","LCL","total","CLST",648,"2019-2020"
"202010","AS","LCL","lower","MLNG",219,"2019-2020"
"202010","AS","LCL","total","MLNG",219,"2019-2020"
"202010","AS","NATV","lower","NATV",54,"2019-2020"
"202010","AS","NATV","upper","NATV",186,"2019-2020"
"202010","AS","NATV","grad","NATV",15,"2019-2020"
"202010","AS","NATV","total","NATV",255,"2019-2020"
"202010","AS","PHIL","lower","PHIL",429,"2019-2020"
"202010","AS","PHIL","upper","PHIL",99,"2019-2020"
"202010","AS","PHIL","total","PHIL",528,"2019-2020"
"202010","AS","RELG","lower","RELG",681,"2019-2020"
"202010","AS","RELG","upper","RELG",366,"2019-2020"
"202010","AS","RELG","total","RELG",1047,"2019-2020"
"202010","AS","SPAN","lower","SPAN",525,"2019-2020"
"202010","AS","SPAN","upper","SPAN",531,"2019-2020"
"202010","AS","SPAN","total","SPAN",1056,"2019-2020"
"202010","AS","WGSS","upper","WMST",147,"2019-2020"
"202010","AS","WGSS","total","WMST",147,"2019-2020"
"202060","AS","AFST","lower","AFST",33,"2019-2020"
"202060","AS","AFST","upper","AFST",135,"2019-2020"
"202060","AS","AFST","total","AFST",168,"2019-2020"
"202060","AS","AMST","lower","AMST",18,"2019-2020"
"202060","AS","AMST","total","AMST",18,"2019-2020"
"202060","AS","CCS","lower","CCST",54,"2019-2020"
"202060","AS","CCS","upper","CCST",120,"2019-2020"
"202060","AS","CCS","grad","CCST",15,"2019-2020"
"202060","AS","CCS","total","CCST",189,"2019-2020"
"202060","AS","ENGL","lower","ENGL",333,"2019-2020"
"202060","AS","ENGL","upper","ENGL",135,"2019-2020"
"202060","AS","ENGL","total","ENGL",468,"2019-2020"
"202060","AS","LCL","lower","CLST",258,"2019-2020"
"202060","AS","LCL","total","CLST",258,"2019-2020"
"202060","AS","LCL","lower","MLNG",39,"2019-2020"
"202060","AS","LCL","total","MLNG",39,"2019-2020"
"202060","AS","NATV","upper","NATV",78,"2019-2020"
"202060","AS","NATV","total","NATV",78,"2019-2020"
"202060","AS","PHIL","lower","PHIL",177,"2019-2020"
"202060","AS","PHIL","total","PHIL",177,"2019-2020"
"202060","AS","RELG","lower","RELG",201,"2019-2020"
"202060","AS","RELG","upper","RELG",57,"2019-2020"
"202060","AS","RELG","total","RELG",258,"2019-2020"
"202060","AS","SPAN","lower","SPAN",249,"2019-2020"
"202060","AS","SPAN","upper","SPAN",291,"2019-2020"
"202060","AS","SPAN","total","SPAN",540,"2019-2020"
"202080","AS","AFST","lower","AFST",168,"2020-2021"
"202080","AS","AFST","upper","AFST",123,"2020-2021"
"202080","AS","AFST","total","AFST",291,"2020-2021"
"202080","AS","AMST","lower","AMST",237,"2020-2021"
"202080","AS","AMST","upper","AMST",27,"2020-2021"
"202080","AS","AMST","total","AMST",264,"2020-2021"
"202080","AS","CCS","lower","CCST",360,"2020-2021"
"202080","AS","CCS","upper","CCST",498,"2020-2021"
"202080","AS","CCS","grad","CCST",36,"2020-2021"
"202080","AS","CCS","total","CCST",894,"2020-2021"
"202080","AS","ENGL","lower","ENGL",840,"2020-2021"
"202080","AS","ENGL","upper","ENGL",359,"2020-2021"
"202080","AS","ENGL","total","ENGL",1199,"2020-2021"
"202080","AS","HIST","lower","HIST",189,"2020-2021"
"202080","AS","HIST","upper","HIST",150,"2020-2021"
"202080","AS","HIST","total","HIST",339,"2020-2021"
"202080","AS","LCL","lower","CLST",1365,"2020-2021"
