"","SUBJ_CRSE"
"1","ANTH 1115"
"2","ANTH 1135L"
"3","BIOL 1110"
"4","BIOL 1140"
"5","BIOL 1140L"
"6","BIOL 2103L"
"7","BIOL 2210"
"8","BIOL 2210L"
"9","BIOL 2305"
"10","CHEM 1106"
"11","CHEM 1120C"
"12","CHEM 1215"
"13","CLST 1110"
"14","COMM 1130"
"15","COMM 2121"
"16","ECON 2110"
"17","ENGL 1120"
"18","ENGL 2120"
"19","ENGL 2210"
"20","ENVS 1130"
"21","ENVS 1130L"
"22","JAPN 1130"
"23","MATH 1215"
"24","MATH 1215X"
"25","MATH 1215Z"
"26","MATH 1220"
"27","MATH 1250"
"28","MATH 1350"
"29","MATH 1430"
"30","MATH 1512"
"31","MATH 1522"
"32","MATH 2531"
"33","PHIL 2220"
"34","PHYS 1230"
"35","PHYS 1240"
"36","POLS 2130"
"37","PSYC 2120"
"38","PSYC 2250"
"39","PSYC 2270"
"40","PSYC 2320"
"41","RELG 1110"
"42","SOCI 2120"
"43","SPAN 1110"
"44","SPAN 1210"
