"","value"
"1","ASTR 1115"
"2","BIOL 1140"
"3","BIOL 1140L"
"4","BIOL 2101"
"5","BIOL 2102"
"6","BIOL 2103L"
"7","BIOL 2210"
"8","CHEM 1215"
"9","CHEM 1215L"
"10","CLST 1110"
"11","COMM 1130"
"12","ECON 2110"
"13","ECON 2120"
"14","ENGL 1110"
"15","ENGL 1120"
"16","ENGL 2120"
"17","ENGL 2210"
"18","MATH 101"
"19","MATH 102"
"20","MATH 1215X"
"21","MATH 1215Y"
"22","MATH 1220"
"23","MATH 1350"
"24","MATH 1430"
"25","PHIL 1120"
"26","PSYC 1110"
"27","RELG 1110"
"28","SIGN 2125"
"29","SOCI 1110"
"30","SPAN 1110"
